Genomes,Covid_Australia,Covid_Brazil,Covid_India,Covid_USA-CA4,Covid_Wuhan,MERS_2012_KF600620,MERS_2014_KY581694,MERS_2014_USA_KP223131,SARS_2003_GU553363,SARS_2017_MK062179
Covid_Australia,29893,29861,29836,29866,12,14,18,18,23803,23877
Covid_Brazil,29861,29876,29845,29869,29872,12,12,12,23814,23888
Covid_India,29836,29845,29854,29846,29849,12,12,12,23812,23880
Covid_USA-CA4,29866,29869,29846,29882,29879,13,13,13,23811,23885
Covid_Wuhan,12,29872,29849,29879,29903,14,18,18,23814,23888
MERS_2012_KF600620,14,12,12,13,14,30055,30005,30003,12,12
MERS_2014_KY581694,18,12,12,13,18,30005,30123,30054,12,12
MERS_2014_USA_KP223131,18,12,12,13,18,30003,30054,30123,12,12
SARS_2003_GU553363,23803,23814,23812,23811,23814,12,12,12,29644,29629
SARS_2017_MK062179,23877,23888,23880,23885,23888,12,12,12,29629,29727
